"filename", "language", "Markdown", "JSON with Comments", "TypeScript", "PostCSS", "JavaScript", "JSON", "XML", "TypeScript JSX", "YAML", "MS SQL", "comment", "blank", "total"
"c:\Users\ashis\edwise\frontend\.next\static\development\_ssgManifest.js", "JavaScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ashis\edwise\frontend\.next\types\cache-life.d.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 106, 13, 142
"c:\Users\ashis\edwise\frontend\.next\types\package.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ashis\edwise\frontend\README.md", "Markdown", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 30
"c:\Users\ashis\edwise\frontend\app\askai\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 102, 0, 0, 0, 8, 110
"c:\Users\ashis\edwise\frontend\app\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 3, 52
"c:\Users\ashis\edwise\frontend\app\globals.css", "PostCSS", 0, 0, 0, 103, 0, 0, 0, 0, 0, 0, 0, 5, 108
"c:\Users\ashis\edwise\frontend\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 2, 23
"c:\Users\ashis\edwise\frontend\app\onboarding\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 2, 28
"c:\Users\ashis\edwise\frontend\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 3, 19
"c:\Users\ashis\edwise\frontend\app\test\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 6, 52
"c:\Users\ashis\edwise\frontend\components.json", "JSON", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 21
"c:\Users\ashis\edwise\frontend\components\Dock.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 153, 0, 0, 0, 6, 159
"c:\Users\ashis\edwise\frontend\components\Herosection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 1, 17
"c:\Users\ashis\edwise\frontend\components\Landingbg.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 4, 15
"c:\Users\ashis\edwise\frontend\components\dashboard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 633, 0, 0, 8, 28, 669
"c:\Users\ashis\edwise\frontend\components\educators-list.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 244, 0, 0, 8, 17, 269
"c:\Users\ashis\edwise\frontend\components\landing-page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 145, 0, 0, 6, 11, 162
"c:\Users\ashis\edwise\frontend\components\lesson-page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 211, 0, 0, 5, 17, 233
